Accounts,Usage Nov,Usage Dec,Usage Jan,Decline Yes / No,ARR,#tickets,Renewal,Ticket Stress level,Call?
Crane Saudi LLC,3,3,3,NO,6165.726181,4,NO,Medium,Monitor
Majid Hamad Al Qasimi Trading EST Saudi,3,1,2,NO,3919.402156,4,NO,Medium,Monitor
Octal Saudi Arabia Plant LLC,4,3,3,NO,11784.86907,4,NO,Medium,Monitor
Hi-Energy Repairer Maintenance & Rental of Oil Field Equipment,4,3,3,NO,4465.98545,4,NO,Medium,Monitor
Copeland,4,4,4,NO,3299.496713,4,YES,Medium,Monitor
Tricon Energy Arabia for Trading,#N/A,2,4,NO,9831.833639,4,NO,Medium,Monitor
ESRI,3,4,3,NO,3999.389955,4,YES,Medium,Monitor
Al Khozama Investment Co.,#N/A,#N/A,2,Needs Review,4499.313699,4,NO,Medium,Data Validation Required
Raqtan,3.2,3.8,3,NO,18997.10229,3,NO,Low,Monitor
Centriq Medical Company,4,4,4,NO,12798.04786,3,NO,Low,Monitor
Danah,3.97,3.93,3.93,NO,19920.42811,3,NO,Low,Monitor
Clifford Chance (AS&H),4,4,4,NO,20156.92537,3,YES,Low,Monitor
NAZIH SAUDI COMPANY FOR COSMETICS,4,3,3,NO,14997.71233,3,YES,Low,Monitor
BASIC CHEMICAL INDUSTRIES,4,4,4,NO,14647.09915,3,NO,Low,Monitor
Linde Arabian Contracting Co. Ltd,3,3,1,YES,6544.06847,3,NO,Low,Usage Recovery Intervention
Wave One Project Company Limited,3,3,3,NO,6614.72436,3,NO,Low,Monitor
Almajd-Alarabiah,3,3,3,NO,11298.27662,3,YES,Low,Monitor
Pure Gym Middle East,4,3,4,NO,14064.52134,3,YES,Low,Monitor
Jeddah Knowledge International school (JKS),3.8,3.8,3.8,NO,12498.09361,3,NO,Low,Monitor
Saudi Readymix Concrete Co,3.89,3.8,3.89,NO,12231.46761,3,NO,Low,Monitor
New Products Industries Co. Ltd.,3.82,3.82,3.82,NO,11048.44806,3,NO,Low,Monitor
Smart National Solutions,3,3,2,YES,10336.55665,3,NO,Low,Usage Recovery Intervention
Dar Jana International Schools,3.93,3.96,3.95,NO,9348.707333,3,NO,Low,Monitor
Colliers - Saudi Arabia,3,3,3,NO,7918.792111,3,NO,Low,Monitor
TRANSGULF,3,3,3,NO,8498.703654,3,NO,Low,Monitor
Rotana,4,1.33,1.33,NO,3439.475361,3,YES,Low,Monitor
Branch of Opterna Arabia Factory,Null,0,0,#DIV/0!,6585.662126,3,YES,Low,#DIV/0!
Richard Attias and Associates Saudi for Organisation of Exhibitions Co,3,3,3,NO,4499.313699,3,NO,Low,Monitor
DUNCAN AND ROSS ARABIA MANAGEMENT,4,4,4,NO,2199.664475,3,YES,Low,Monitor
PetroApp,4,4,4,NO,6499.008677,3,NO,Low,Monitor
Smart Appliances Trading Company,4,4,4,NO,6328.901291,3,NO,Low,Monitor
